PBIT  %,Target Achieved %,Sales Target (₹),Total Sales (₹),Total Purchase (₹),Transactions,Sold Qty,PBIT  (₹),Gross Margin,Gross Margin %,Store
-255.10%,4.09%,689729,28242,24500,15,49,-72044.80323033241,4485.968287223601,15.88%,ATHANI SUGGI
-67.52%,21.24%,522191,110911,99244,29,142,-74882.73746964741,12623.278668280862,11.38%,BADA SUGGI
-31.23%,58.02%,501560,290983,267531,48,394,-90884.1783507464,30057.39018674805,10.33%,BHALKI SUGGI
-49.81%,13.48%,743502,100225,91579,24,120,-49925.38827871766,10930.679870863592,10.91%,BILAGI SUGGI
-6.13%,41.86%,967173,404863,340757,82,459,-24809.001492830346,65133.56588821317,16.09%,CHALLAKERE SUGGI
-8.01%,88.94%,1002464,891577,887309,43,1039,-71424.81577953814,4293.677373733584,0.48%,EMMIGANUR SUGGI
-32.42%,9.63%,1057740,101882,94965,31,178,-33032.86593763462,8171.871763605674,8.02%,GUTTAL SUGGI
-45.18%,22.45%,561485,126079,117288,19,176,-56958.44122456359,10844.892749773615,8.60%,HADAGALI SUGGI
-68.05%,8.09%,672931,54423,47791,39,76,-37035.77154890272,7345.192527614339,13.50%,HAMPASAGAR SUGGI
-7.21%,92.69%,693301,642617,565938,166,953,-46355.94882476778,96113.65872042485,14.96%,HAMSABHAVI SUGGI
-28.47%,31.21%,667867,208437,187967,60,334,-59335.4339165573,21231.852808716696,10.19%,HANGAL SUGGI
-25.28%,16.35%,1019311,166620,149471,32,273,-42118.66387447171,21747.417498919298,13.05%,HARUGERI SUGGI
-28.57%,60.62%,937209,568128,566245,58,468,-162286.95543724977,2379.9172683239985,0.42%,HAVERI SUGGI
-13.97%,56.05%,447816,250991,233712,39,414,-35058.80854381428,17420.60377339656,6.94%,HONNAMARADI SUGGI
-43.88%,8.19%,827743,67751,47501,20,122,-29726.924219750937,21706.275527928203,32.04%,INDI SUGGI
-69.19%,11.35%,573299,65084,54576,31,200,-45034.09611869084,10756.56207162607,16.53%,JAGALUR SUGGI
-47.16%,26.67%,290572,77490,59035,33,153,-36541.816980594085,19781.79211078777,25.53%,KAMALAPUR SUGGI
-20.16%,28.54%,1056711,301627,292110,16,496,-60795.86563973478,9521.312663438244,3.16%,KAMPLI SUGGI
-8.27%,26.90%,1439674,387285,336961,42,460,-32009.563138596972,53029.35885187965,13.69%,KOLUR CROSS SUGGI
-45.55%,17.70%,654395,115845,101824,20,187,-52769.390016405145,13961.912606709659,12.05%,KOTTUR SUGGI
-82.65%,16.13%,599507,96705,94319,19,86,-79926.67535841418,2386.457707828893,2.47%,KUNDUR SUGGI
-9.92%,40.87%,1314836,537424,514339,49,754,-53290.078950563286,23140.532326438675,4.31%,KURAGODU SUGGI
-3.74%,44.24%,1207787,534382,484390,131,652,-19978.048782982783,57430.9882965704,10.75%,LINGASUGUR SUGGI
-65.32%,9.14%,550558,50296,46555,20,57,-32852.269179009374,7265.71973829603,14.45%,MALEBENNUR SUGGI
-12.36%,72.18%,893188,644717,630157,19,862,-79687.73340332566,21546.763360721885,3.34%,MANVI SUGGI
-10.35%,59.73%,1055196,630254,605459,39,726,-65248.83687086238,25198.285338088186,4.00%,MASKI SUGGI
-28.78%,62.89%,483288,303943,273107,41,625,-87464.5280218925,31058.198108054148,10.22%,MASUR SUGGI
-26.01%,30.62%,610500,186924,165783,88,290,-48614.28490504961,22240.578503936056,11.90%,MOLAKALMURU SUGGI
-47.82%,19.60%,391938,76822,66304,14,139,-36734.66561615045,10581.696146949516,13.77%,MORATAGI SUGGI
-18.95%,27.57%,759261,209351,194257,56,299,-39661.84359824223,22695.519107967724,10.84%,MUNAVALLI SUGGI
-28.42%,21.39%,913662,195470,174418,55,245,-55562.2372291365,23002.238334254773,11.77%,NARGUND SUGGI
-33.65%,9.35%,994366,92988,87300,11,132,-31291.70898779236,5640.832927794619,6.07%,POTNAL SUGGI
-34.58%,17.92%,955313,171162,155319,64,386,-59183.789114297964,24000.5143188261,14.02%,RAIBAG SUGGI
-14.53%,34.53%,879159,303583,286709,100,271,-44107.47375261072,19052.785050776707,6.28%,RAMPURA SUGGI
-10.09%,13.37%,676573,90461,58631,38,165,-9129.44156482043,33317.1397976594,36.83%,SAUDATTI SUGGI
-60.88%,30.33%,547980,166216,147612,20,155,-101196.37906252177,22220.725991121857,13.37%,SINDAGI SUGGI
-85.11%,11.25%,1054635,118693,106733,29,222,-101018.77189511311,11684.838247948599,9.84%,SIRUGUPPA SUGGI
-40.43%,23.37%,1112975,260105,254497,53,359,-105156.71663878317,5403.797138481738,2.08%,TEKKALAKOTA SUGGI
