PBIT  %,Target Achieved %,Sales Target (₹),Total Sales (₹),Total Purchase (₹),Transactions,Sold Qty,PBIT  (₹),Gross Margin,Gross Margin %,Store
-16.06%,20.23%,9877426,1997721,1868880,273,2806,-320819.79853904725,166756.34549477918,8.35%,ATHANI SUGGI
-3.71%,30.00%,8758925,2627854,2288270,417,3525,-97421.73955868714,348576.3787669813,13.26%,BADA SUGGI
NaN,57.27%,7057749,4042249,3801221,771,4807,NaN,292891.41074068245,7.25%,BHALKI SUGGI
NaN,63.82%,9177918,5857169,5305195,892,7398,NaN,810956.8661308677,13.85%,BILAGI SUGGI
1.56%,40.20%,12516980,5031879,4547948,922,6042,78503.88056870786,516137.1389785606,10.26%,CHALLAKERE SUGGI
-12.22%,29.03%,9957338,2890798,2882966,291,3590,-353375.0785287888,11674.856397103988,0.40%,EMMIGANUR SUGGI
-3.32%,24.46%,15851597,3877764,3686687,591,5993,-128798.71586662802,216419.4166876332,5.58%,GUTTAL SUGGI
-6.58%,18.89%,12038705,2273981,2154233,451,3760,-149728.1256200208,197533.41181459714,8.69%,HADAGALI SUGGI
-0.50%,31.91%,11567634,3690973,3514321,803,4680,-18603.969514249864,294013.65531711513,7.97%,HAMPASAGAR SUGGI
5.53%,58.33%,18476621,10776668,9571138,2846,17807,596081.8646766084,1418921.7817145882,13.17%,HAMSABHAVI SUGGI
-0.78%,27.06%,14621375,3957149,3621669,873,6415,-30923.12574633766,386788.1039838724,9.77%,HANGAL SUGGI
-1.14%,21.15%,11679420,2469840,2259023,614,3448,-28167.347326087154,289296.04441275686,11.71%,HARUGERI SUGGI
NaN,32.85%,24052604,7900634,7664459,1261,10653,NaN,289608.5425835446,3.67%,HAVERI SUGGI
1.86%,42.31%,8353651,3534536,3183311,736,6829,65573.96241320384,362332.9251495291,10.25%,HONNAMARADI SUGGI
2.33%,19.54%,10599782,2070777,1776350,274,3470,48272.03323673313,337372.0699845691,16.29%,INDI SUGGI
-7.57%,12.17%,12525608,1523895,1419510,361,2086,-115349.64101399106,185793.5712943771,12.19%,JAGALUR SUGGI
NaN,42.47%,4853790,2061424,1879886,675,2578,NaN,225779.3658813354,10.95%,KAMALAPUR SUGGI
-10.15%,31.18%,10688222,3333011,3335611,160,4375,-338279.78887769853,12595.028073043439,0.38%,KAMPLI SUGGI
-18.68%,15.94%,7234817,1153482,990406,258,1276,-215492.8618892972,166411.050065619,14.43%,KOLUR CROSS SUGGI
-11.31%,15.33%,12749898,1954117,2153186,213,2109,-220924.71591638093,174108.07229517854,8.91%,KOTTUR SUGGI
-8.60%,28.90%,8559998,2473642,2204948,337,4693,-212640.49844638628,275139.8270497969,11.12%,KUNDUR SUGGI
-14.61%,53.31%,6297874,3357554,3386246,365,3877,-490564.0475277135,-16032.561855560547,-0.48%,KURAGODU SUGGI
0.27%,38.66%,12353502,4776371,4376493,1216,5538,12735.912248158184,435362.7527551983,9.11%,LINGASUGUR SUGGI
-9.53%,9.24%,9878337,912387,781413,336,1419,-86963.4392280732,137934.0661706638,15.12%,MALEBENNUR SUGGI
-11.97%,27.22%,8211540,2234937,2067755,276,2655,-267517.68435615685,173572.9783842021,7.77%,MANVI SUGGI
-5.09%,35.00%,10860255,3800902,3589255,562,4686,-193338.43932235302,223601.45609606008,5.88%,MASKI SUGGI
-10.78%,24.07%,12635005,3041790,2885616,459,4513,-327872.29953521385,165396.62817003555,5.44%,MASUR SUGGI
-3.97%,24.72%,10241008,2531540,2281285,1131,3615,-100628.29261992102,273117.3127718869,10.79%,MOLAKALMURU SUGGI
-6.44%,45.78%,3126654,1431503,1289429,224,2076,-92122.84972201621,152764.90303972163,10.67%,MORATAGI SUGGI
4.64%,35.81%,9358805,3351288,3010093,688,4360,155547.97907676388,446371.8463964849,13.32%,MUNAVALLI SUGGI
NaN,38.61%,10934433,4221807,3957423,640,5073,NaN,283907.5551625984,6.72%,NARGUND SUGGI
-11.88%,11.81%,11569734,1366758,1225872,228,1787,-162337.75422039177,143446.6610730578,10.50%,POTNAL SUGGI
-0.71%,24.91%,11234110,2797961,2468511,749,4451,-19802.439700103772,427825.3770361829,15.29%,RAIBAG SUGGI
-0.44%,47.10%,12346103,5815231,5493414,1461,6618,-25323.984804319756,361414.55323586904,6.21%,RAMPURA SUGGI
8.66%,35.17%,8968586,3154137,2709581,574,4061,272994.19938417093,522057.3542112598,16.55%,SAUDATTI SUGGI
NaN,33.24%,8792909,2922644,2703267,338,3827,NaN,279749.5966983926,9.57%,SINDAGI SUGGI
-22.25%,28.36%,8992018,2549991,2566569,197,2731,-567491.6407208089,-26819.532476540102,-1.05%,SIRUGUPPA SUGGI
-27.42%,22.15%,8060142,1785477,1696959,383,2551,-489546.81668772065,94866.50226466694,5.31%,TEKKALAKOTA SUGGI
