territory,store,Purchase Inventory (₹),Quantity
Ranebennur,HAVERI SUGGI,1186583,1359
Ranebennur,CHIKKABALLAPUR SUGGI,564945,1496
Bellary,SIRUGUPPA SUGGI,410590,222
Belagum,NARGUND SUGGI,278238,721
Bellary,EMMIGANUR SUGGI,179983,121
Raichur,MASKI SUGGI,178604,101
Bellary,KOLUR CROSS SUGGI,160080,77
Raichur,MORATAGI SUGGI,118398,189
Raichur,SINDAGI SUGGI,85243,138
Bellary,KURAGODU SUGGI,78044,32
Bellary,KOTTUR SUGGI,59570,55
Raichur,MANVI SUGGI,55841,28
Bellary,RAMPURA SUGGI,45942,63
Bellary,CHALLAKERE SUGGI,36659,74
Ranebennur,GUTTAL SUGGI,35747,96
Ranebennur,HANGAL SUGGI,30600,86
Ranebennur,HAMSABHAVI SUGGI,17787,103
Belagum,BILAGI SUGGI,13917,30
Ranebennur,MALEBENNUR SUGGI,12605,15
Raichur,LINGASUGUR SUGGI,3230,18
Ranebennur,HONNAMARADI SUGGI,2924,1
Ranebennur,KUNDUR SUGGI,2657,6
Belagum,HARUGERI SUGGI,1050,1
