territory,store,Purchase Inventory (₹),Quantity
Raichur,LINGASUGUR SUGGI,2165184,2546
Ranebennur,HAVERI SUGGI,2137011,16101
Belagum,INDI SUGGI,1798289,2871
Bellary,RAMPURA SUGGI,1399407,1761
Ranebennur,HAMSABHAVI SUGGI,1103843,1780
Raichur,MANVI SUGGI,1046182,1273
Bellary,EMMIGANUR SUGGI,963990,1406
Bellary,KURAGODU SUGGI,813430,1537
Ranebennur,KUNDUR SUGGI,801927,1117
Bellary,CHALLAKERE SUGGI,770877,1756
Bellary,KAMPLI SUGGI,685947,974
Raichur,SINDAGI SUGGI,648577,1391
Bellary,KOLUR CROSS SUGGI,588966,1155
Belagum,NARGUND SUGGI,559593,664
Bellary,MOLAKALMURU SUGGI,547031,909
Bellary,TEKKALAKOTA SUGGI,470858,1204
Raichur,POTNAL SUGGI,439906,360
Belagum,HARUGERI SUGGI,427597,748
Bellary,SIRUGUPPA SUGGI,389235,1111
Belagum,SAUDATTI SUGGI,389085,1275
Belagum,MUNAVALLI SUGGI,385565,661
Raichur,MASKI SUGGI,338208,557
Ranebennur,HONNAMARADI SUGGI,293318,601
Ranebennur,BADA SUGGI,289001,403
Belagum,RAIBAG SUGGI,278922,579
Ranebennur,HANGAL SUGGI,266704,605
Ranebennur,MALEBENNUR SUGGI,255720,290
Raichur,KAMALAPUR SUGGI,236885,1030
Ranebennur,MASUR SUGGI,213952,415
Ranebennur,HADAGALI SUGGI,203270,737
Bellary,JAGALUR SUGGI,198308,861
Raichur,BHALKI SUGGI,183071,653
Belagum,BILAGI SUGGI,173273,546
Ranebennur,HAMPASAGAR SUGGI,160715,374
Raichur,MORATAGI SUGGI,15043,102
