territory,store,Purchase Inventory (₹),Quantity
Ranebennur,HAVERI SUGGI,1396880,2799
Raichur,BHALKI SUGGI,1340613,2182
Bellary,KURAGODU SUGGI,1186195,3454
Bellary,KOTTUR SUGGI,1097933,2553
Raichur,MASKI SUGGI,1063327,2848
Bellary,KOLUR CROSS SUGGI,1051315,2580
Raichur,POTNAL SUGGI,981994,2175
Raichur,MANVI SUGGI,928291,2233
Belagum,ATHANI SUGGI,899684,1824
Bellary,SIRUGUPPA SUGGI,854390,1028
Raichur,MORATAGI SUGGI,849161,2082
Bellary,RAMPURA SUGGI,820031,1581
Ranebennur,HADAGALI SUGGI,719327,1612
Bellary,EMMIGANUR SUGGI,715928,2377
Raichur,LINGASUGUR SUGGI,693503,2420
Bellary,CHALLAKERE SUGGI,668345,1494
Ranebennur,GUTTAL SUGGI,649307,1380
Bellary,KAMPLI SUGGI,634106,2391
Ranebennur,HONNAMARADI SUGGI,612967,1225
Ranebennur,HANGAL SUGGI,612718,930
Raichur,KAMALAPUR SUGGI,611888,1371
Belagum,INDI SUGGI,590127,3652
Raichur,SINDAGI SUGGI,564794,2187
Bellary,TEKKALAKOTA SUGGI,561874,1217
Ranebennur,BADA SUGGI,543233,1477
Belagum,BILAGI SUGGI,537483,1117
Belagum,HARUGERI SUGGI,527331,1747
Ranebennur,KUNDUR SUGGI,472090,1013
Ranebennur,MALEBENNUR SUGGI,463949,1501
Bellary,JAGALUR SUGGI,448562,1012
Belagum,NARGUND SUGGI,433017,1453
Bellary,MOLAKALMURU SUGGI,415827,885
Ranebennur,MASUR SUGGI,413895,775
Ranebennur,HAMPASAGAR SUGGI,349424,1426
Belagum,RAIBAG SUGGI,333745,1322
Ranebennur,HAMSABHAVI SUGGI,307148,1067
Belagum,SAUDATTI SUGGI,298612,1606
Belagum,MUNAVALLI SUGGI,109323,661
Ranebennur,CHIKKABALLAPUR SUGGI,47727,157
Ranebennur,KALABURAGI SUGGI,3000,50
